,chembl_id,canonical_smiles
550,CHEMBL168266,Nc1ncnc2c1c(cn2C3CC(O)C3)c4ccccc4
906,CHEMBL366831,CNc1ncnc2c1c(cn2c3ccccc3)c4ccccc4
4602,CHEMBL2437459,C=CC(=O)Nc1ccc(cc1)N2C(=O)C=Nc3cnc(Nc4ccc(cc4)N5CCOCC5)nc23
5780,CHEMBL3915306,Clc1ccc(COc2ccc(Nc3ncnc4cc5OC(=O)N(CCOC(=O)CBr)c5cc34)cc2)cc1
512,CHEMBL113902,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C
6201,CHEMBL3676390,CCC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C
976,CHEMBL118109,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2nc3ccccc3s2)c1O
2894,CHEMBL604992,COc1cc2c(Nc3ccc(cc3)c4nc5ccc(F)cc5s4)ncnc2cc1OCCCN6CCN(C)CC6
3381,CHEMBL1241682,CC(C)n1nc(c2ccc3nc(C)ccc3c2)c4c(N)ncnc14
3648,CHEMBL113996,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN4CCOCC4
2897,CHEMBL593770,COc1cc2c(ncnc2cc1OCCCN3CCN(C)CC3)N(C)c4ccc(c(OC)c4)c5nc6ccccc6s5
5430,CHEMBL3740131,CCOC(=O)c1nn(cc1C(=O)c2c(C)[nH]c(c3ccccc3)c2c4ccccc4)c5ccccc5
3232,CHEMBL1172950,Cc1ncc([N+](=O)[O-])n1CCOC(=O)\C=C\c2cccc(c2)[N+](=O)[O-]
4636,CHEMBL3088224,Cc1ccc(cc1)C(=O)N\N=C(\Cn2c(C)ncc2[N+](=O)[O-])/c3ccc(Br)cc3
3281,CHEMBL1242845,Cc1nn(nc1Cn2nc(c3ccc(F)c(O)c3)c4c(N)ncnc24)c5ccccc5
1742,CHEMBL203529,Fc1ccc2Oc3ncnc(Nc4ccccc4)c3NCc2c1
1725,CHEMBL206197,Nc1ccc2Oc3ncnc(Nc4ccc(F)c(Cl)c4)c3NCc2c1
1896,CHEMBL436137,Cc1cccc(C)c1c2cc(C)c3nc(Nc4ccc(OCCN5CCCC5)cc4)nnc3c2
3697,CHEMBL1821873,COc1ccc(cc1)C2CC(=NN2c3nc(cs3)c4ccc(Cl)cc4)c5ccc(C)c(C)c5
